ISO	Language	Level	Category	CategoryEN	Region1Code	Region2Code	Region3Code	Region4Code	Region	Latitude	Longitude	Elevation	ISO2	FIPS	NUTS	HASC	STAT
BM	EN	1	Parish	Parish	10				Southampton	32.25462	-64.82520	1	SOU	BD10		BM.SO	10
BM	EN	1	Parish	Parish	11				Warwick	32.26667	-64.80828	1	WAR	BD11		BM.WA	11
BN	EN	1	District	District	01				Belait	4.41202	114.47941	8	BN-BE	BX01		BN.BE	
BN	EN	1	District	District	02				Brunei-Muara	4.89368	114.94020	42	BN-BM	BX02		BN.BM	
BN	EN	1	District	District	03				Temburong	4.64998	115.17791	15	BN-TE	BX03		BN.TE	
BN	EN	1	District	District	04				Tutong	4.64273	114.71329	6	BN-TU	BX04		BN.TU	
BO	ES	1	Departamento	Departament	01				Beni	-13.67744	-65.29298	154	BO-B	BL03		BO.EB	10208
BO	ES	1	Departamento	Departament	02				Chuquisaca	-19.96891	-64.62876	2517	BO-H	BL01		BO.CQ	10301
BO	ES	1	Departamento	Departament	03				Cochabamba	-17.57879	-65.86208	2613	BO-C	BL02		BO.CB	10303
BO	ES	1	Departamento	Departament	04				La Paz	-16.49535	-68.35156	3388	BO-L	BL04		BO.LP	10102
BO	ES	1	Departamento	Departament	05				Oruro	-18.50529	-67.83997	3714	BO-O	BL05		BO.OR	10104
BO	ES	1	Departamento	Departament	06				Pando	-10.97142	-67.34823	177	BO-N	BL06		BO.PA	10209
BO	ES	1	Departamento	Departament	07				Potosí	-20.44200	-66.28110	4040	BO-P	BL07		BO.PO	10105
BO	ES	1	Departamento	Departament	08				Santa Cruz	-17.40112	-61.96043	426	BO-S	BL08		BO.SC	10207
BO	ES	1	Departamento	Departament	09				Tarija	-21.59603	-64.05138	1908	BO-T	BL09		BO.TR	10306
BQ	NL	1	Island	Island	01				Bonaire	12.17544	-68.27576	68	BQ-BO	-		BQ.BO	
BQ	NL	1	Island	Island	02				Sint Eustatius	17.48854	-62.98180	55	BQ-SE	-		BQ.SE	
BQ	NL	1	Island	Island	03				Saba	17.63335	-63.23370	312	BQ-SA	-		BQ.SB	
BR	PT	1	Estado	State	11				Rondônia	-10.16444	-63.11890	242	BR-RO	BR24		BR.RO	11
BR	PT	1	Estado	State	12				Acre	-8.82296	-70.33030	210	BR-AC	BR01		BR.AC	12
BR	PT	1	Estado	State	13				Amazonas	-2.87473	-64.52237	55	BR-AM	BR04		BR.AM	13
BR	PT	1	Estado	State	32				Espírito Santo	-19.25667	-40.86557	293	BR-ES	BR08		BR.ES	32
BR	PT	1	Estado	State	33				Rio de Janeiro	-21.98625	-42.87976	535	BR-RJ	BR21		BR.RJ	33
BR	PT	1	Estado	State	35				São Paulo	-22.08988	-48.70347	660	BR-SP	BR27		BR.SP	35
BY	EN	1	Province	Province	05				Mogilev Province	53.67344	30.43580	169	BY-MA	BO06		BY.MA	05
BY	EN	1	Province	Province	06				Minsk Province	53.87134	27.55707	188	BY-MI	BO05		BY.MI	06
BY	EN	1	Province	Province	07				Vitebsk Province	55.19883	28.75555	162	BY-VI	BO07		BY.VI	07
